"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 27 23:54:00 MSK 2026","Wed May 27 23:54:00 MSK 2026","120","tests_api","test_user","TestUserUpdate","","","Изменение данных пользователя с авторизацией",""
"passed","Wed May 27 23:53:59 MSK 2026","Wed May 27 23:53:59 MSK 2026","130","tests_api","test_user","TestUserUpdate","","","Изменение данных пользователя с авторизацией",""
"passed","Wed May 27 23:53:54 MSK 2026","Wed May 27 23:53:55 MSK 2026","438","tests_api","test_user","TestUserCreate","","","Создание уникального пользователя",""
"passed","Wed May 27 23:53:52 MSK 2026","Wed May 27 23:53:52 MSK 2026","110","tests_api","test_order","TestOrderCreate","","","Создание заказа без ингредиентов",""
"passed","Wed May 27 23:54:01 MSK 2026","Wed May 27 23:54:01 MSK 2026","125","tests_api","test_user","TestUserUpdate","","","Изменение данных пользователя без авторизации",""
"passed","Wed May 27 23:53:52 MSK 2026","Wed May 27 23:53:52 MSK 2026","129","tests_api","test_order","TestOrderCreate","","","Создание заказа с ингредиентами",""
"passed","Wed May 27 23:53:56 MSK 2026","Wed May 27 23:53:56 MSK 2026","247","tests_api","test_user","TestUserLogin","","","Логин под существующим пользователем",""
"passed","Wed May 27 23:53:57 MSK 2026","Wed May 27 23:53:57 MSK 2026","125","tests_api","test_user","TestUserLogin","","","Логин с неверным логином и паролем",""
"passed","Wed May 27 23:53:57 MSK 2026","Wed May 27 23:53:57 MSK 2026","114","tests_api","test_user","TestUserLogin","","","Логин с неверным логином и паролем",""
"passed","Wed May 27 23:53:58 MSK 2026","Wed May 27 23:53:58 MSK 2026","128","tests_api","test_user","TestUserLogin","","","Логин с неверным логином и паролем",""
"passed","Wed May 27 23:53:51 MSK 2026","Wed May 27 23:53:52 MSK 2026","399","tests_api","test_order","TestOrderCreate","","","Создание заказа с авторизацией",""
"passed","Wed May 27 23:53:52 MSK 2026","Wed May 27 23:53:52 MSK 2026","131","tests_api","test_order","TestOrderCreate","","","Создание заказа без авторизации",""
"passed","Wed May 27 23:53:52 MSK 2026","Wed May 27 23:53:53 MSK 2026","118","tests_api","test_order","TestOrderCreate","","","Создание заказа с неверным хешем ингредиентов",""
"passed","Wed May 27 23:53:58 MSK 2026","Wed May 27 23:53:58 MSK 2026","133","tests_api","test_user","TestUserData","","","Получение данных авторизованного пользователя",""
"passed","Wed May 27 23:53:55 MSK 2026","Wed May 27 23:53:55 MSK 2026","123","tests_api","test_user","TestUserCreate","","","Создание пользователя, который уже зарегистрирован",""
"passed","Wed May 27 23:53:55 MSK 2026","Wed May 27 23:53:55 MSK 2026","185","tests_api","test_user","TestUserCreate","","","Создание пользователя без заполнения обязательных полей",""
"passed","Wed May 27 23:53:53 MSK 2026","Wed May 27 23:53:53 MSK 2026","530","tests_api","test_order","TestOrderGet","","","Получение заказов авторизованного пользователя",""
"passed","Wed May 27 23:54:00 MSK 2026","Wed May 27 23:54:00 MSK 2026","135","tests_api","test_user","TestUserUpdate","","","Изменение данных пользователя с авторизацией",""
"passed","Wed May 27 23:53:59 MSK 2026","Wed May 27 23:53:59 MSK 2026","132","tests_api","test_user","TestUserUpdate","","","Изменение данных пользователя с авторизацией",""
"passed","Wed May 27 23:53:58 MSK 2026","Wed May 27 23:53:58 MSK 2026","121","tests_api","test_user","TestUserData","","","Получение данных неавторизованного пользователя",""
"passed","Wed May 27 23:53:56 MSK 2026","Wed May 27 23:53:56 MSK 2026","170","tests_api","test_user","TestUserCreate","","","Создание пользователя без заполнения обязательных полей",""
"passed","Wed May 27 23:53:54 MSK 2026","Wed May 27 23:53:54 MSK 2026","128","tests_api","test_order","TestOrderGet","","","Получение заказов неавторизованного пользователя",""
"passed","Wed May 27 23:53:55 MSK 2026","Wed May 27 23:53:56 MSK 2026","194","tests_api","test_user","TestUserCreate","","","Создание пользователя без заполнения обязательных полей",""
"passed","Wed May 27 23:54:01 MSK 2026","Wed May 27 23:54:01 MSK 2026","129","tests_api","test_user","TestUserUpdate","","","Изменение данных пользователя без авторизации",""
"passed","Wed May 27 23:53:54 MSK 2026","Wed May 27 23:53:54 MSK 2026","154","tests_api","test_order","TestOrderGet","","","Получение заказов пользователя с пустым списком",""
